id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
133,12,10,14.7,10,16,35,2025-08-08 10:18:37
134,12,11,15.2,10,16,35,2025-08-08 10:18:37
135,12,12,14.6,10,16,35,2025-08-08 10:18:37
136,12,13,15.0,10,16,35,2025-08-08 10:18:37
137,12,14,15.1,10,16,35,2025-08-08 10:18:37
138,12,15,15.4,10,16,35,2025-08-08 10:18:37
139,12,16,14.9,10,16,35,2025-08-08 10:18:37
140,12,17,14.9,10,16,35,2025-08-08 10:18:37
141,12,18,14.9,10,16,35,2025-08-08 10:18:37
142,12,19,15.3,10,16,35,2025-08-08 10:18:37
143,12,20,14.3,10,16,35,2025-08-08 10:18:37
144,12,21,14.6,10,16,35,2025-08-08 10:18:37
145,13,10,14.7,10,16,50,2025-08-08 10:18:37
146,13,11,15.1,10,16,50,2025-08-08 10:18:37
147,13,12,14.6,10,16,50,2025-08-08 10:18:37
148,13,13,15.0,10,16,50,2025-08-08 10:18:37
149,13,14,15.1,10,16,50,2025-08-08 10:18:37
150,13,15,15.5,10,16,50,2025-08-08 10:18:37
151,13,16,14.9,10,16,50,2025-08-08 10:18:37
152,13,17,14.9,10,16,50,2025-08-08 10:18:37
153,13,18,14.9,10,16,50,2025-08-08 10:18:37
154,13,19,15.3,10,16,50,2025-08-08 10:18:37
155,13,20,14.3,10,16,50,2025-08-08 10:18:37
156,13,21,14.6,10,16,50,2025-08-08 10:18:37
157,14,10,14.7,10,17,5,2025-08-08 10:18:37
158,14,11,15.2,10,17,5,2025-08-08 10:18:37
159,14,12,14.6,10,17,5,2025-08-08 10:18:37
160,14,13,15.0,10,17,5,2025-08-08 10:18:37
161,14,14,15.1,10,17,5,2025-08-08 10:18:37
162,14,15,15.4,10,17,5,2025-08-08 10:18:37
163,14,16,14.9,10,17,5,2025-08-08 10:18:37
164,14,17,14.9,10,17,5,2025-08-08 10:18:37
165,14,18,14.9,10,17,5,2025-08-08 10:18:37
166,14,19,15.3,10,17,5,2025-08-08 10:18:37
167,14,20,14.3,10,17,5,2025-08-08 10:18:37
168,14,21,14.6,10,17,5,2025-08-08 10:18:37
169,15,10,14.7,10,17,20,2025-08-08 10:18:37
170,15,11,15.2,10,17,20,2025-08-08 10:18:37
171,15,12,14.6,10,17,20,2025-08-08 10:18:37
172,15,13,15.0,10,17,20,2025-08-08 10:18:37
173,15,14,15.1,10,17,20,2025-08-08 10:18:37
174,15,15,15.5,10,17,20,2025-08-08 10:18:37
175,15,16,14.9,10,17,20,2025-08-08 10:18:37
176,15,17,14.9,10,17,20,2025-08-08 10:18:37
177,15,18,14.9,10,17,20,2025-08-08 10:18:37
178,15,19,15.3,10,17,20,2025-08-08 10:18:37
179,15,20,14.3,10,17,20,2025-08-08 10:18:37
180,15,21,14.6,10,17,20,2025-08-08 10:18:37
181,16,10,14.7,10,17,35,2025-08-08 10:18:37
